year_month,brand,avg_review_rating,total_reviews
2014-07,Spwatches,5.0,1
2014-07,Love Inspired,5.0,1
2014-07,ESS,5.0,1
2014-07,NEFF,5.0,1
2014-07,blank apparel,5.0,1
2014-07,Heelix,5.0,2
2014-07,Lincoln,5.0,1
2014-07,Embassy,5.0,1
2014-07,Tarrago,5.0,1
2014-07,Green Toys,5.0,3
2014-07,Dorfman Pacific,5.0,1
2014-07,JTC Belt,5.0,1
2014-07,Urban Boundaries Eyewear,5.0,2
2014-07,FindingKing,5.0,7
2014-07,Ailisha,5.0,1
2014-07,Vine Branch,5.0,1
2014-07,Maidenform,5.0,1
2014-07,AMC,5.0,2
2014-07,Buypretty,5.0,1
2014-07,X-Loop,5.0,2
2014-07,Umo Lorenzo,5.0,1
2014-07,Sloggers,5.0,9
2014-07,BSJ,5.0,1
2014-07,TANZK Handmade,5.0,2
2014-07,Calcutta,5.0,1
2014-07,Pinshang,5.0,3
2014-07,FootMatters,5.0,1
2014-07,Neewer,5.0,2
2014-07,Security Chain,5.0,1
2014-07,NECA,5.0,3
2014-07,Islandoffer,5.0,4
2014-07,Roma Costume,5.0,1
2014-07,SBR Designs,5.0,1
2014-07,Stuhrling Original,5.0,1
2014-07,Gold Toe,5.0,1
2014-07,"NYfashion101, Inc",5.0,1
2014-07,Scarecrow,5.0,1
2014-07,BellyLady,5.0,1
2014-07,NYfashion101,5.0,2
2014-07,UGG,5.0,1
2014-07,Nautica,5.0,3
2014-07,Lay-n-Go,5.0,1
2014-07,ANDI ROSE,5.0,1
2014-07,Slim Clip,5.0,1
2014-07,The Weather Company,5.0,1
2014-07,BOXINGCAT,5.0,1
2014-07,Meltonian,5.0,1
2014-07,Scala,5.0,2
2014-07,MaxxDry,5.0,1
2014-07,Voguestrap,5.0,1
2014-07,winwinzone,5.0,2
2014-07,HAZARD 4,5.0,1
2014-07,CLC Rain Wear,5.0,1
2014-07,Claybox,5.0,1
2014-07,Beading Station,5.0,1
2014-07,Seiko,5.0,8
2014-07,TYR,5.0,2
2014-07,Kipling,5.0,1
2014-07,Accoutrements,5.0,4
2014-07,Samsung,5.0,3
2014-07,Cotton Cantina,5.0,4
2014-07,Coobie,5.0,1
2014-07,Stephen Joseph,5.0,1
2014-07,Bolle,5.0,1
2014-07,Enchantmints,5.0,1
2014-07,Other,5.0,1
2014-07,WOW CLOTHES,5.0,1
2014-07,Wigwam,5.0,2
2014-07,Ever Moda,5.0,1
2014-07,FMD,5.0,1
2014-07,Ivory Falcon,5.0,1
2014-07,NPI,5.0,1
2014-07,Kidorable,5.0,1
2014-07,JP Leatherworks,5.0,1
2014-07,PEET,5.0,1
2014-07,FUNOC,5.0,1
2014-07,humangear,5.0,1
2014-07,Bangniweigou,5.0,1
2014-07,Bobster Eyewear,5.0,1
2014-07,Perry,5.0,1
2014-07,Sofia the First,5.0,1
2014-07,Zicac,5.0,1
2014-07,Orient,5.0,1
2014-07,Shop123go-Tote Bag,5.0,2
2014-07,Timberland,5.0,1
2014-07,Whispering Pines Sportswear,5.0,2
2014-07,S-ZONE,5.0,1
2014-07,Valuable Gifts,5.0,1
2014-07,IcyDeals,5.0,1
2014-07,fineplus,5.0,1
2014-07,WIIPU,5.0,1
2014-07,The Noble Collection,5.0,1
2014-07,Oulm,5.0,2
2014-07,Oryer,5.0,1
2014-07,Jade Onlines,5.0,1
2014-07,hypoallergenic earrings,5.0,1
2014-07,Ginkgo,5.0,1
2014-07,Marc by Marc Jacobs,5.0,3
2014-07,Dora the Explorer,5.0,1
2014-07,Beau Corner,5.0,1
2014-07,Zenana Outfitters,5.0,1
2014-07,ISC,5.0,1
2014-07,Yelete,5.0,3
2014-07,Dangerous Threads,5.0,1
2014-07,Ergodyne,5.0,1
2014-07,Babalu,5.0,1
2014-07,Frontier Fashion,5.0,1
2014-07,High Style,5.0,1
2014-07,Coach,5.0,1
2014-07,Eagle Creek,5.0,5
2014-07,Capezio,5.0,1
2014-07,Relic,5.0,1
2014-07,elegantstunning,5.0,1
2014-07,L&#39;eggs,5.0,1
2014-07,Shop123go-Neck Wallet,5.0,2
2014-07,Leighton Umbrellas,5.0,1
2014-07,Pacific Coast Sunglasses,5.0,2
2014-07,N.Y.C.,5.0,1
2014-07,Invisibelt,5.0,1
2014-07,Evermarket,5.0,1
2014-07,Dakota,5.0,1
2014-07,Gerber,5.0,1
